Combination of datacards/datacard_M1900_mconly_cr_nb0_mednjets_nopdfoutput_nominal_newnt_2017_mconly.dat  datacards/datacard_M1900_mconly_cr_nb0_highnjets_nopdfoutput_nominal_newnt_2017_mconly.dat  datacards/datacard_M1900_mconly_cr_nb1_lownjets_nopdfoutput_nominal_newnt_2017_mconly.dat  datacards/datacard_M1900_mconly_cr_nb1_mednjets_nopdfoutput_nominal_newnt_2017_mconly.dat  datacards/datacard_M1900_mconly_cr_nb1_highnjets_nopdfoutput_nominal_newnt_2017_mconly.dat  datacards/datacard_M1900_mconly_cr_nb2_lownjets_nopdfoutput_nominal_newnt_2017_mconly.dat  datacards/datacard_M1900_mconly_sr_nb2_mednjets_nopdfoutput_nominal_newnt_2017_mconly.dat  datacards/datacard_M1900_mconly_cr_nb3_lownjets_nopdfoutput_nominal_newnt_2017_mconly.dat
imax 16 number of bins
jmax 4 number of processes minus 1
kmax 1 number of nuisance parameters
----------------------------------------------------------------------------------------------------------------------------------
shapes *          ch1_bin23  datacards/variations/output_nominal_newnt_2017_mconly.root bin23/$PROCESS bin23/$PROCESS_$SYSTEMATIC
shapes *          ch1_bin38  datacards/variations/output_nominal_newnt_2017_mconly.root bin38/$PROCESS bin38/$PROCESS_$SYSTEMATIC
shapes *          ch2_bin24  datacards/variations/output_nominal_newnt_2017_mconly.root bin24/$PROCESS bin24/$PROCESS_$SYSTEMATIC
shapes *          ch2_bin39  datacards/variations/output_nominal_newnt_2017_mconly.root bin39/$PROCESS bin39/$PROCESS_$SYSTEMATIC
shapes *          ch3_bin25  datacards/variations/output_nominal_newnt_2017_mconly.root bin25/$PROCESS bin25/$PROCESS_$SYSTEMATIC
shapes *          ch3_bin40  datacards/variations/output_nominal_newnt_2017_mconly.root bin40/$PROCESS bin40/$PROCESS_$SYSTEMATIC
shapes *          ch4_bin26  datacards/variations/output_nominal_newnt_2017_mconly.root bin26/$PROCESS bin26/$PROCESS_$SYSTEMATIC
shapes *          ch4_bin41  datacards/variations/output_nominal_newnt_2017_mconly.root bin41/$PROCESS bin41/$PROCESS_$SYSTEMATIC
shapes *          ch5_bin27  datacards/variations/output_nominal_newnt_2017_mconly.root bin27/$PROCESS bin27/$PROCESS_$SYSTEMATIC
shapes *          ch5_bin42  datacards/variations/output_nominal_newnt_2017_mconly.root bin42/$PROCESS bin42/$PROCESS_$SYSTEMATIC
shapes *          ch6_bin28  datacards/variations/output_nominal_newnt_2017_mconly.root bin28/$PROCESS bin28/$PROCESS_$SYSTEMATIC
shapes *          ch6_bin43  datacards/variations/output_nominal_newnt_2017_mconly.root bin43/$PROCESS bin43/$PROCESS_$SYSTEMATIC
shapes *          ch7_bin29  datacards/variations/output_nominal_newnt_2017_mconly.root bin29/$PROCESS bin29/$PROCESS_$SYSTEMATIC
shapes *          ch7_bin44  datacards/variations/output_nominal_newnt_2017_mconly.root bin44/$PROCESS bin44/$PROCESS_$SYSTEMATIC
shapes *          ch8_bin31  datacards/variations/output_nominal_newnt_2017_mconly.root bin31/$PROCESS bin31/$PROCESS_$SYSTEMATIC
shapes *          ch8_bin46  datacards/variations/output_nominal_newnt_2017_mconly.root bin46/$PROCESS bin46/$PROCESS_$SYSTEMATIC
----------------------------------------------------------------------------------------------------------------------------------
bin          ch1_bin38  ch1_bin23  ch2_bin39  ch2_bin24  ch3_bin40  ch3_bin25  ch4_bin41  ch4_bin26  ch5_bin42  ch5_bin27  ch6_bin43  ch6_bin28  ch7_bin44  ch7_bin29  ch8_bin46  ch8_bin31
observation  168980     1796.87    32447.8    715.858    120394     970.108    61744.8    1605.21    15626.2    1309.2     29286.6    424.069    21364.3    1058.53    4298.19    36.9818  
----------------------------------------------------------------------------------------------------------------------------------
bin                             ch1_bin38     ch1_bin38     ch1_bin38     ch1_bin38     ch1_bin38     ch1_bin23     ch1_bin23     ch1_bin23     ch1_bin23     ch1_bin23     ch2_bin39     ch2_bin39     ch2_bin39     ch2_bin39     ch2_bin39     ch2_bin24     ch2_bin24     ch2_bin24     ch2_bin24     ch2_bin24     ch3_bin40     ch3_bin40     ch3_bin40     ch3_bin40     ch3_bin40     ch3_bin25     ch3_bin25     ch3_bin25     ch3_bin25     ch3_bin25     ch4_bin41     ch4_bin41     ch4_bin41     ch4_bin41     ch4_bin41     ch4_bin26     ch4_bin26     ch4_bin26     ch4_bin26     ch4_bin26     ch5_bin42     ch5_bin42     ch5_bin42     ch5_bin42     ch5_bin42     ch5_bin27     ch5_bin27     ch5_bin27     ch5_bin27     ch5_bin27     ch6_bin43     ch6_bin43     ch6_bin43     ch6_bin43     ch6_bin43     ch6_bin28     ch6_bin28     ch6_bin28     ch6_bin28     ch6_bin28     ch7_bin44     ch7_bin44     ch7_bin44     ch7_bin44     ch7_bin44     ch7_bin29     ch7_bin29     ch7_bin29     ch7_bin29     ch7_bin29     ch8_bin46     ch8_bin46     ch8_bin46     ch8_bin46     ch8_bin46     ch8_bin31     ch8_bin31     ch8_bin31     ch8_bin31     ch8_bin31   
process                         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other         signal_M1900  qcd           ttbar         wjets         other       
process                         0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4             0             1             2             3             4           
rate                            1.52059       166942        1528.23       279.4         230.251       0.693523      461.516       382.918       758.338       194.096       1.62675       31677.3       672.206       48.1371       50.2155       1.15205       163.803       286.877       200.832       64.3455       1.74999       115081        4431.58       238.388       643.046       0.305255      127.379       491.224       221.152       130.354       4.65013       55824         5370.1        100.403       450.268       1.81432       160.709       1111.79       185.861       146.852       5.83864       12789.8       2673.89       20.1777       142.237       3.91112       111.399       1065.31       65.4497       67.0458       1.65487       25478.3       3366.01       44.4388       397.89        0.168544      25.8435       315.364       29.2887       53.5728       5.15113       15618.1       5363.99       25.1829       357.099       1.61295       39.2071       897.022       38.1034       84.1987       0.694999      3487.9        714.14        5.68069       90.4714       0.0303078     0.897203      27.6932       2.04927       6.34212     
----------------------------------------------------------------------------------------------------------------------------------
